file,total,afd,cdu,spd,csu,fdp,linke,gruene,grüne,wahlkampf,merkel,flüchtlinge,refugees,asyl,btw17,btw2017,schulz,schulztrain,schulzzug,stmartin
"~/tweets/germany_2017_08_01_01_00_01.json","3727","80","36","47","59","1939","23","7","14","3","256","22","739","16","17","2","64","0","0","0"
"~/tweets/germany_2017_08_01_02_00_01.json","3304","109","33","65","48","1626","16","7","7","5","264","20","712","31","16","5","55","0","0","2"
"~/tweets/germany_2017_08_01_03_00_02.json","3084","118","61","69","48","1294","17","5","15","11","175","31","873","27","22","6","44","0","0","0"
"~/tweets/germany_2017_08_01_04_00_01.json","3080","162","68","87","54","965","22","3","32","15","262","67","940","36","45","11","45","0","0","2"
"~/tweets/germany_2017_08_01_05_00_02.json","3366","310","183","146","106","656","56","24","70","33","399","111","885","80","97","19","59","0","0","0"
"~/tweets/germany_2017_08_01_06_00_02.json","4028","349","329","190","109","541","78","28","77","68","462","184","998","105","147","42","353","0","0","0"
"~/tweets/germany_2017_08_01_07_00_02.json","4210","462","296","337","141","507","185","32","124","66","510","135","888","108","161","22","196","0","0","0"
"~/tweets/germany_2017_08_01_08_00_02.json","4332","573","315","291","109","661","107","35","119","51","659","144","831","87","171","30","178","0","1","0"
"~/tweets/germany_2017_08_01_09_00_02.json","5258","814","331","307","141","838","117","29","110","112","673","171","1129","99","257","33","212","0","2","0"
"~/tweets/germany_2017_08_01_10_00_01.json","5103","651","284","287","102","956","172","39","120","174","686","166","1035","84","200","26","298","0","2","0"
"~/tweets/germany_2017_08_01_11_00_02.json","5655","694","366","313","125","1065","185","37","139","91","911","137","999","127","188","29","317","0","3","1"
